id,name,author,content,tags
79470931809941babc10a1f73a2adf18,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
0eeb43ed1e4942febed149982c009cab,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
498329c60ffd446299fed3a0e9e6f2c4,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
cb04a290e21242a7b25b585d6ffbe970,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
ab6e8f96a05e4744b1d3023d53704853,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
12b564f59cef4f30b1725776fc086214,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
cff1460776fa4b24b37b59fe99a28330,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
37df03e209234f088965f143ce470487,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
db2a511004a64b65890ce1c55fb82746,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
3817a2412af44592a2eb4d023a820ad4,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
4ff5cd88a5fd43e089d979755ba43b79,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
c6e0152db53e49339a2b639b434b1eee,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
343e3d4b980b40148fa6947dcc6b1a53,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
e010cc6053504775b5f8b10486bf8495,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
d03a67b6e0bf47cf84c7c5e52be3de1f,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
e571ebf2baf94d6ba7b4ac974249f5cd,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
7be46b1d088f45e284ac080c885b80f5,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
b3642f7cfe4f40208e4a1fa338b38404,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
b8fa0506a4ad437bb47c2658170ee441,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
35a2b39b3a0440a89f230e934e3a7571,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
e3861a1ba8dd47ea985f8cbd72ab21f0,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
4c42a536b4034fe4b9894ba4bcd7873c,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
db6f884ac5a944ac9ea912f751059e97,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
731472fe434940f2a7c7daa01ec7e569,['和袭美春夕酒醒'],唐代 陆龟蒙,"
几年无事傍江湖，醉倒黄公旧酒垆。 <br>觉后不知明月上，满身花影倩人扶。
","写景,月色,闲适"
1123fcb67b544a40985daf6d8799a761,['少年游·离多最是'],宋代 晏几道,"
离多最是，东西流水，终解两相逢。<br>浅情终似，行云无定，犹到梦魂中。<br>可怜人意，薄于云水，佳会更难重。<br>细想从来，断肠多处，不与今番同。
","爱情,离别"
2e4e70f2ced040b7a027f4c4e733e920,"['次韵太守向公登楼眺望二首', '茫茫汝水抱城根，野色偷春入烧痕。', '千点湘妃枝上泪，一声杜宇水边魂。', '遥怜鸿隙陂穿路，尚想元和贼负恩。', '粉堞女墙都已尽，恍如陶侃梦天门。']",宋代 秦观,"
<br>
<br>
","历史,怀古"
51ff8d33dbae4d20927a212f84cf0036,['南归阻雪'],唐代 孟浩然,"
我行滞宛许，日夕望京豫。<br>旷野莽茫茫，乡山在何处。 <br>孤烟村际起，归雁天边去。<br>积雪覆平皋，饥鹰捉寒兔。 <br>少年弄文墨，属意在章句。<br>十上耻还家，裴回守归路。
","写景,怀才不遇,怅惘"
086038cc1d7640639af0796bc839c10d,['后园凿井歌'],唐代 李贺,"
井上辘轳床上转。水声繁，弦声浅。情若何，荀奉倩。<br>城头日，长向城头住。一日作千年，不须流下去。
","夫妻,爱情,生活"
a2dff98b51de48e29d35c145e3046b69,[],,,"座中泣下谁最多？江州司马青衫湿。,白居易《琵琶行 / 琵琶引》"
d248f1bf5eb94004a84ea566b443355c,['泛吴松江'],宋代 王禹偁,"
苇蓬疏薄漏斜阳，半日孤吟未过江。<br>唯有鹭鸶知我意，时时翘足对船窗。
","写景,抒情,仕途,厌恶"
09f672c95eac489daedcd33c7287c420,['念奴娇·炎精中否'],宋代 黄中辅,"
炎精中否？叹人材委靡，都无英物。胡马长驱三犯阙，谁作长城坚壁？万国奔腾，两宫幽陷，此恨何时雪？草庐三顾，岂无高卧贤杰？<br>天意眷我中兴，吾皇神武，踵曾孙周发。河海封疆俱效顺，狂虏何劳灰灭？翠羽南巡，叩阍无路，徒有冲冠发。孤忠耿耿，剑铓冷浸秋月。
","爱国,感叹"
7547dad62c034e0baa2f4efc1d2df867,['菩萨蛮·风帘燕舞莺啼柳'],唐代 牛峤,"
风帘燕舞莺啼柳，妆台约鬓低纤手。钗重髻盘珊，一枝红牡丹。<br>门前行乐客，白马嘶春色。故故坠金鞭，回头应眼穿。
","写人,爱情"
402ad405eac146dfa98ac54b832863e7,['浣溪沙·肯把离情容易看'],清代 纳兰性德,"
肯把离情容易看，要从容易见艰难。难抛往事一般般。<br>今夜灯前形共影，枕函虚置翠衾单。更无人与共春寒。
","抒情,悲伤,孤单"
06c1231aaec8402baf70ce373ee111d2,"['噫嘻', '噫嘻成王，既昭假尔。', '率时农夫，播厥百谷。', '骏发尔私，终三十里。', '亦服尔耕，十千维耦。']",先秦 佚名,"
<br>
","诗经,农事"
0a546f29958041918b3fc0c4aa6fdaa1,[],,,"目送归鸿，手挥五弦。,嵇康《赠秀才入军·其十四》"
